source_name,source_link,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,country_name,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude,Date,Time,year,month
tribuneindia,http://www.tribuneindia.com/2008/20080108/j&k.htm,25km,landslide,rain,medium,unknown,,,,India,Kashmir,3278.0,Banihāl,2.06191,75.1923,33.4341,2008-01-07,00:00:00,2008,1
dawn,http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/provinces/04-shangla-landslide-qs-02,50km,landslide,rain,medium,unknown,5.0,,,Pakistan,Khyber Pakhtunkhwa,0.0,Alpūrai,2.27173,72.6459,34.9033,2010-02-26,00:00:00,2010,2
ftpapp.app,http://ftpapp.app.com.pk/en_/index.php?option=com_content&task=view&id=146473&Itemid=38,unknown,landslide,rain,large,unknown,0.0,,,Pakistan,Punjab,1743101.0,Rāwalpindi,2.54502,73.0439,33.6118,2011-07-29,00:00:00,2011,7
Greater Kashmir,http://www.greaterkashmir.com/news/kashmir/kashmir-highway-closed-due-to-landslides/245940.html,50km,landslide,continuous_rain,small,above_road,0.0,0.0,,,,,,,75.20596208,33.40832011,2017-04-08,13:19:00,2017,4
tribune.com.pk,http://tribune.com.pk/story/602084/routine-disrupted-major-thoroughfare-in-haripur-remains-closed/,5km,landslide,downpour,medium,unknown,0.0,,,Pakistan,Khyber Pakhtunkhwa,39148.0,Khalābat,11.41297,72.8541,34.1586,2013-09-07,23:00:00,2013,9
timesofindia.indiatimes,http://timesofindia.indiatimes.com/India/Landslide_on_Vaishnodevi_route_in_JK_five_injured/articleshow/3368095.cms,25km,landslide,downpour,medium,unknown,,,,India,Kashmir,9106.0,Katra,1.00536,74.9277,33.0,2008-08-15,00:00:00,2008,8
One India,http://news.oneindia.in/2007/08/18/cm-visits-cloudburst-affected-ghanvi-village-1187458326.html,50km,complex,downpour,very_large,unknown,52.0,,,India,Rajasthan,41710.0,Bilāra,10.50149,73.6106,26.2208,2007-08-14,00:00:00,2007,8
dawn,http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/04-shangla-landslide-17-killed-qs-03,25km,landslide,rain,large,unknown,17.0,,,Pakistan,Khyber Pakhtunkhwa,0.0,Alpūrai,12.05629,72.7056,35.0111,2010-07-29,00:00:00,2010,7
www.greaterkashmir.com,http://www.greaterkashmir.com/news/2013/Jun/12/pre-monsoon-showers-bring-joy-for-jammu-residents-69.asp,unknown,landslide,rain,small,unknown,0.0,,,India,Himachal Pradesh,6690.0,Ghumārwīn,6.68727,76.6702,31.4881,2013-06-11,23:00:00,2013,6
Dawn,http://www.dawn.com/news/1158436/landslide-kills-two-mine-workers-in-balochistan,5km,landslide,downpour,medium,mine,2.0,3.0,,Pakistan,Balochistān,7630.0,Alik Ghund,20.0553,67.3799,30.6218,2015-01-20,00:00:00,2015,1
CNN,http://www.cnn.com/2017/02/06/asia/avalanche-afghanistan-pakistan/index.html,1km,snow_avalanche,snowfall_snowmelt,large,natural_slope,13.0,19.0,,,,,,,71.56077472,35.99797569,2017-02-04,21:44:00,2017,2
LEADPakistan,http://leadpakistan.com.pk/news/landslide-blocks-kkh-mansehra-naran-jalkhad-road/,5km,landslide,snowfall_snowmelt,medium,above_road,0.0,0.0,,,,,,,73.3605212,34.57829667,2017-01-08,19:12:00,2017,1
The Express Tribune,https://tribune.com.pk/story/1391780/landslides-block-karakorum-highway/,5km,landslide,downpour,small,above_road,0.0,0.0,,,,,,,74.81907701,35.72120055,2017-04-22,18:27:00,2017,4
The Daily Qudrat,http://en.dailyqudrat.com/pakistan/17-01-2017/17368/,1km,landslide,construction,small,urban,1.0,1.0,,,,,,,73.3456681,31.50015823,2017-01-17,14:45:00,2017,1
Greater Kashmir,http://www.greaterkashmir.com/news/pir-panjal/story/240567.html,1km,landslide,rain,unknown,above_road,0.0,0.0,,,,,,,75.21350071,33.24823884,2017-02-05,19:27:00,2017,2
Times of India,http://timesofindia.indiatimes.com/city/chandigarh/massive-landslide-hits-national-highway-near-shimla-several-vehicles-buried/articleshow/60338106.cms?from=mdr,exact,landslide,rain,medium,above_road,0.0,0.0,,,,,,,77.20355516,31.10312666,2017-09-02,15:08:00,2017,9
Pakistan Kakhuda Hafiz,http://www.pakistankakhudahafiz.com/gilgit-cut-off-due-landsliding-mudflow/,1km,landslide,rain,small,above_road,0.0,0.0,,,,,,,74.61062816,36.2806339,2017-04-22,17:55:00,2017,4
The New Indian Express,http://www.newindianexpress.com/nation/2017/jan/27/fresh-avalanches-in-jammu--kashmir-toll-rises-to-20-1564077.html,1km,snow_avalanche,snowfall_snowmelt,medium,natural_slope,1.0,0.0,,,,,,,74.03027722,34.08452617,2017-01-25,19:44:00,2017,1
Himtimes,http://himtimes.com/4-labourers-buried-rampur-landslide/,5km,rock_fall,construction,medium,above_road,4.0,0.0,,,,,,,77.13685018,31.0563269,2017-01-06,15:40:00,2017,1
The Tribune,http://www.tribuneindia.com/news/jammu-kashmir/vehicles-stuck-at-nh-44-for-second-day-due-to-landslides/359113.html,1km,landslide,unknown,medium,above_road,0.0,0.0,,,,,,,75.18163117,33.30044087,2017-02-03,18:09:00,2017,2
The Express Tribune,https://tribune.com.pk/story/1376728/snow-rain-april-six-injured-g-b-landslides/,50km,rock_fall,rain,small,above_road,0.0,0.0,,,,,,,73.98356806,35.44377033,2017-04-06,13:19:00,2017,4
